,B_x,B_y,B_z,V_1,V_2,V_3
0,-53.033008588991045,0.0,-17.677669529663675,-10.0,0.0,0.0
1,-52.197843099400636,0.0,-17.39928103313354,-9.84251968503937,0.0,0.0
2,-51.362677609810234,0.0,-17.120892536603407,-9.68503937007874,0.0,0.0
3,-50.52751212021981,0.0,-16.842504040073262,-9.527559055118111,0.0,0.0
4,-49.6923466306294,0.0,-16.564115543543128,-9.37007874015748,0.0,0.0
5,-48.85718114103899,0.0,-16.285727047012998,-9.21259842519685,0.0,0.0
6,-48.022015651448584,0.0,-16.007338550482856,-9.05511811023622,0.0,0.0
7,-47.18685016185816,0.0,-15.728950053952712,-8.89763779527559,0.0,0.0
8,-46.351684672267766,0.0,-15.450561557422583,-8.740157480314961,0.0,0.0
9,-45.51651918267736,0.0,-15.172173060892451,-8.582677165354331,0.0,0.0
10,-44.68135369308694,0.0,-14.893784564362305,-8.4251968503937,0.0,0.0
11,-43.846188203496524,0.0,-14.615396067832165,-8.26771653543307,0.0,0.0
12,-43.01102271390612,0.0,-14.337007571302038,-8.11023622047244,0.0,0.0
13,-42.17585722431571,0.0,-14.058619074771904,-7.952755905511811,0.0,0.0
14,-41.340691734725304,0.0,-13.780230578241765,-7.7952755905511815,0.0,0.0
15,-40.505526245134895,0.0,-13.501842081711626,-7.637795275590552,0.0,0.0
16,-39.67036075554448,0.0,-13.223453585181487,-7.480314960629921,0.0,0.0
17,-38.83519526595407,0.0,-12.945065088651353,-7.322834645669291,0.0,0.0
18,-38.000029776363654,0.0,-12.666676592121213,-7.165354330708661,0.0,0.0
19,-37.164864286773245,0.0,-12.388288095591077,-7.0078740157480315,0.0,0.0
20,-36.32969879718284,0.0,-12.109899599060947,-6.850393700787402,0.0,0.0
21,-35.494533307592434,0.0,-11.831511102530806,-6.692913385826772,0.0,0.0
22,-34.65936781800202,0.0,-11.55312260600067,-6.535433070866142,0.0,0.0
23,-33.824202328411616,0.0,-11.274734109470534,-6.377952755905512,0.0,0.0
24,-32.98903683882119,0.0,-10.996345612940395,-6.2204724409448815,0.0,0.0
25,-32.15387134923079,0.0,-10.717957116410261,-6.062992125984252,0.0,0.0
26,-31.31870585964038,0.0,-10.439568619880124,-5.905511811023622,0.0,0.0
27,-30.48354037004997,0.0,-10.161180123349984,-5.748031496062993,0.0,0.0
28,-29.648374880459556,0.0,-9.882791626819852,-5.590551181102362,0.0,0.0
29,-28.81320939086915,0.0,-9.604403130289713,-5.433070866141732,0.0,0.0
30,-27.978043901278745,0.0,-9.326014633759582,-5.275590551181103,0.0,0.0
31,-27.142878411688326,0.0,-9.04762613722944,-5.118110236220472,0.0,0.0
32,-26.30771292209792,0.0,-8.769237640699306,-4.960629921259843,0.0,0.0
33,-25.472547432507508,0.0,-8.490849144169163,-4.803149606299213,0.0,0.0
34,-24.6373819429171,0.0,-8.21246064763903,-4.645669291338582,0.0,0.0
35,-23.80221645332669,0.0,-7.934072151108893,-4.488188976377953,0.0,0.0
36,-22.967050963736284,0.0,-7.65568365457876,-4.330708661417323,0.0,0.0
37,-22.131885474145868,0.0,-7.377295158048621,-4.173228346456693,0.0,0.0
38,-21.29671998455546,0.0,-7.098906661518484,-4.015748031496063,0.0,0.0
39,-20.46155449496505,0.0,-6.820518164988347,-3.8582677165354333,0.0,0.0
40,-19.62638900537464,0.0,-6.542129668458214,-3.7007874015748037,0.0,0.0
41,-18.79122351578423,0.0,-6.263741171928075,-3.543307086614173,0.0,0.0
42,-17.95605802619382,0.0,-5.98535267539794,-3.3858267716535435,0.0,0.0
43,-17.120892536603407,0.0,-5.706964178867801,-3.228346456692914,0.0,0.0
44,-16.285727047012998,0.0,-5.428575682337664,-3.0708661417322833,0.0,0.0
45,-15.45056155742259,0.0,-5.150187185807529,-2.9133858267716537,0.0,0.0
46,-14.615396067832178,0.0,-4.871798689277389,-2.755905511811024,0.0,0.0
47,-13.780230578241765,0.0,-4.593410192747253,-2.5984251968503935,0.0,0.0
48,-12.945065088651356,0.0,-4.315021696217117,-2.440944881889764,0.0,0.0
49,-12.109899599060947,0.0,-4.036633199686982,-2.2834645669291342,0.0,0.0
50,-11.274734109470534,0.0,-3.758244703156845,-2.1259842519685037,0.0,0.0
51,-10.439568619880125,0.0,-3.479856206626707,-1.968503937007874,0.0,0.0
52,-9.604403130289718,0.0,-3.2014677100965723,-1.8110236220472444,0.0,0.0
53,-8.769237640699309,0.0,-2.923079213566435,-1.6535433070866148,0.0,0.0
54,-7.934072151108901,0.0,-2.6446907170363,-1.4960629921259851,0.0,0.0
